,label,sentence
795,shame,the fact that i was pregnant i was always considered level headed and did not have sex until 18 and out of high school
796,sadness,"when my father passed away in 1978 i was left alone with my mother who was very sick so i had to go and live with my aunt , who is very short tempered , till my mother was discharged from the hospital"
797,disgust,hearing of a filthy situation over the phone
798,fear,"when first came to cal i went to a rally on sproul and i later learned that the rally was conducted by the moonie cult they were taking pictures at the rally , so i was afraid that they would circulate the pictures and then kidnap people i did not know how the cult worked i was scared"
799,joy,when my last year ' s second semester results came through i was ecstatic
800,fear,walking alone in the dark in a strange street
801,fear,i was very scared when i went to the examination hall for my m sc examination as i had studied a limited partion of the course thoroughly and i was in great doubt whether that would be asked
802,guilt,at one time while at primary school i lost a pencil case of a friend and i didn ' t mention it to her until after a fortnight
803,shame,when i woke up after a night of drinking i couldn ' t remember and discovered several untoward things had occurred
804,shame,finding out about chinese money cannot buy foreign journals
805,joy,when i heard that i had passed my end of first year exams and i was ready to enter 2nd year because i felt i had failed as they were very hard
806,guilt,"i had , by being silent , disapproved my love and made him unhappy he had not been able to keep his promise i thus was thinking about my own conduct towards another person"
807,guilt,"i broke a cup and put it back without telling anyone about it and someone almost got blamed for it , then it was discovered that it was me who had broken it"
808,fear,when i went to town in a double dekker bus the bus was about to fall on the way when the driver controlled it it had almost fallen
